1.00000	 0.00126
0.95000	 0.00807
0.90000	 0.01448
0.85000	 0.02053
0.80000	 0.02623
0.75000	 0.03160
0.70000	 0.03664
0.65000	 0.04133
0.60000	 0.04563
0.55000	 0.04952
0.50000	 0.05294
0.44900	 0.05588
0.39900	 0.05808
0.34900	 0.05951
0.29900	 0.06002
0.27500	 0.06048
0.25000	 0.06084
0.22500	 0.06100
0.20000	 0.06087
0.17500	 0.06033
0.15000	 0.05924
0.12500	 0.05740
0.10000	 0.05454
0.08000	 0.05121
0.06000	 0.04655
0.05000	 0.04351
0.04000	 0.03982
0.03000	 0.03522
0.02000	 0.02925
0.01000	 0.02074
0.00500	 0.01438
0.00000	 0.00000
0.00500 -0.01438
0.01000	-0.02074
0.02000	-0.02925
0.03000	-0.03522
0.04000	-0.03982
0.05000	-0.04351
0.06000	-0.04655
0.08000	-0.05121
0.10000	-0.05454
0.12500	-0.05740
0.15000	-0.05924
0.17500	-0.06033
0.20000	-0.06087
0.22500	-0.06100
0.25000	-0.06084
0.27500	-0.06048
0.29900	-0.06002
0.34900	-0.05951
0.39900	-0.05808
0.44900	-0.05588
0.50000	-0.05294
0.55000	-0.04952
0.60000	-0.04563
0.65000	-0.04133
0.70000	-0.03664
0.75000	-0.03160
0.80000	-0.02623
0.85000	-0.02053
0.90000	-0.01448
0.95000	-0.00807
1.00000	-0.00126
